2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Воронежская область', 'description': 'Код: 36', 'id': 10}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'город федерального значения Москва', 'description': 'Код: 77', 'id': 11}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'город федерального значения Санкт-Петербург', 'description': 'Код: 78', 'id': 12}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'город федерального значения Севастополь', 'description': 'Код: 92', 'id': 13}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Донецкая Народная Республика', 'description': 'Код: 93', 'id': 14}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Еврейская автономная область', 'description': 'Код: 79', 'id': 15}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Забайкальский край', 'description': 'Код: 75', 'id': 16}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Запорожская область', 'description': 'Код: 90', 'id': 17}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Ивановская область', 'description': 'Код: 37', 'id': 18}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Иные территории,включая город и космодром Байконур', 'description': 'Код: 99', 'id': 19}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Иркутская область', 'description': 'Код: 38', 'id': 20}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Кабардино-Балкарская Республика', 'description': 'Код: 7', 'id': 21}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Калининградская область', 'description': 'Код: 39', 'id': 22}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Калужская область', 'description': 'Код: 40', 'id': 23}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Камчатский край', 'description': 'Код: 41', 'id': 24}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Карачаево-Черкесская Республика', 'description': 'Код: 9', 'id': 25}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Кемеровская область — Кузбасс', 'description': 'Код: 42', 'id': 26}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
2025-05-12 at 15:56:33 | INFO | Добавление записи Region с параметрами: {'name': 'Кировская область', 'description': 'Код: 43', 'id': 27}
2025-05-12 at 15:56:33 | INFO | Запись Region успешно добавлена.
